36001,94,sucy-en-brie,SUCY-EN-BRIE,sucy en brie,Sucy-en-Brie,S516,SSNBR,94880,071,94071,1,46,5,25820,24819,26100,2475,10.43,2.53333,48.7667,207,54189,+23122,484611,33,110
36002,94,mandres-les-roses,MANDRES-LES-ROSES,mandres les roses,Mandres-les-Roses,M3624262,MNTRSLSRSS,94520,047,94047,1,26,6,4413,4101,4300,1337,3.3,2.55,48.7,231,54114,+23240,484208,39,97
36003,94,vincennes,VINCENNES,vincennes,Vincennes,V5252,FNSNS,94300,080,94080,2,98,5,48471,43580,48100,25377,1.91,2.43333,48.85,114,54276,+22621,485052,47,69
36004,94,charenton-le-pont,CHARENTON-LE-PONT,charenton le pont,Charenton-le-Pont,C65354153,XRNTNLPNT,94220,018,94018,1,07,5,29348,26576,28600,15863,1.85,2.41667,48.8167,84,54246,+22443,484917,28,57
36005,94,saint-maurice-94,SAINT-MAURICE,saint maurice,Saint-Maurice,S53562,SNTMRS,94410,069,94069,1,07,6,14512,12742,14600,10148,1.43,2.45833,48.8167,109,54243,+22605,484906,27,67
36006,94,bry-sur-marne,BRY-SUR-MARNE,bry sur marne,Bry-sur-Marne,B626565,BRSRMRN,94360,015,94015,2,04,5,15625,15021,15300,4664,3.35,2.51667,48.8333,206,54268,+23120,485028,36,100
36007,94,bonneuil-sur-marne,BONNEUIL-SUR-MARNE,bonneuil sur marne,Bonneuil-sur-Marne,B5426565,BNLSRMRN,94380,011,94011,1,03,5,16513,15922,16500,2996,5.51,2.48333,48.7667,168,54194,+22915,484627,32,74
36008,94,joinville-le-pont,JOINVILLE-LE-PONT,joinville le pont,Joinville-le-Pont,J514153,JNFLLPNT,94340,042,94042,2,15,5,17802,17111,17400,7740,2.3,2.46667,48.8167,151,54246,+22822,484917,33,61
36009,94,ablon-sur-seine,ABLON-SUR-SEINE,ablon sur seine,Ablon-sur-Seine,A1452625,ABLNSRSN,94480,001,94001,1,28,6,5171,4868,5200,4658,1.11,2.41667,48.7167,94,54140,+22516,484332,32,85
36010,94,noiseau,NOISEAU,noiseau,Noiseau,N200,NS,94880,053,94053,2,44,6,4669,3970,4400,1039,4.49,2.55,48.7833,234,54197,+23250,484637,54,104
